"key","category","value"
"Company - Private","Rating",4.12224824355972
"Company - Private","Career",4.04309133489461
"Company - Private","Management",3.8576112412178
"Company - Private","Compensation",3.84754098360656
"Company - Private","WorkLifeBalance",3.83067915690867
"Company - Private","Culture",4.10444964871194
"Company - Public","Rating",3.79566160520607
"Company - Public","Career",3.66334056399132
"Company - Public","Management",3.39479392624729
"Company - Public","Compensation",3.52060737527115
"Company - Public","WorkLifeBalance",3.63904555314534
"Company - Public","Culture",3.77375271149675
